,星期,時間,方向,里程,車速,交通量
0,3,1,0,1.7,95,18
1,3,1,0,2.9,93,29
2,3,1,0,6.1,93,43
3,3,1,0,9.9,97,53
4,3,1,0,14.7,97,23
5,3,1,0,15.5,97,68
6,3,1,0,17.4,108,13
7,3,1,0,20.0,100,16
8,3,1,0,20.8,106,30
9,3,1,0,21.3,100,36
10,3,1,0,23.3,97,44
11,3,1,0,25.6,100,53
12,3,1,0,27.1,104,30
13,3,1,0,29.3,100,51
14,3,1,0,33.3,100,16
15,3,1,0,34.0,100,55
16,3,1,0,34.0,97,15
17,3,1,0,37.6,97,72
18,3,1,0,41.3,97,40
19,3,1,0,44.7,100,30
20,3,1,0,44.7,99,24
21,3,1,0,46.7,97,44
22,3,1,0,49.2,102,48
23,3,1,0,51.1,108,44
24,3,1,0,53.2,100,50
25,3,1,0,55.7,100,71
26,3,1,0,55.7,0,5
27,3,1,0,57.9,108,22
28,3,1,0,58.4,100,50
29,3,1,0,60.8,104,11
30,3,1,0,60.8,100,9
31,3,1,0,63.3,100,31
32,3,1,0,63.3,104,3
33,3,1,0,66.4,100,20
34,3,1,0,68.1,97,25
35,3,1,0,69.9,93,23
36,3,1,0,75.0,104,31
37,3,1,0,75.0,108,17
38,3,1,0,88.0,104,44
39,3,1,0,92.8,100,38
40,3,1,0,95.6,104,21
41,3,1,0,97.9,104,25
42,3,1,0,104.5,104,25
43,3,1,0,112.3,100,35
44,3,1,0,129.2,100,28
45,3,1,0,138.9,108,32
46,3,1,0,146.5,104,32
47,3,1,0,157.2,100,30
48,3,1,0,162.1,108,24
49,3,1,0,166.4,104,21
50,3,1,0,169.9,104,27
51,3,1,0,177.4,108,30
52,3,1,0,180.2,104,27
53,3,1,0,183.9,104,27
54,3,1,0,190.6,108,26
55,3,1,0,196.0,108,26
56,3,1,0,201.1,104,30
57,3,1,0,208.9,111,36
58,3,1,0,215.6,111,28
59,3,1,0,224.9,111,19
60,3,1,0,232.2,111,22
61,3,1,0,239.4,109,34
62,3,1,0,242.5,111,22
63,3,1,0,247.2,111,21
64,3,1,0,251.4,108,23
65,3,1,0,260.3,108,20
66,3,1,0,267.4,111,20
67,3,1,0,271.4,115,16
68,3,1,0,282.7,108,16
69,3,1,0,286.6,109,16
70,3,1,0,293.0,111,19
71,3,1,0,301.9,108,20
72,3,1,0,308.3,115,25
73,3,1,0,312.6,113,34
74,3,1,0,318.5,108,27
75,3,1,0,322.7,108,25
76,3,1,0,325.2,104,24
77,3,1,0,328.6,108,21
78,3,1,0,336.6,111,32
79,3,1,0,339.8,115,34
80,3,1,0,346.0,111,39
81,3,1,0,353.5,108,38
82,3,1,0,355.9,108,31
83,3,1,0,359.0,104,34
84,3,1,0,364.0,102,34
85,3,1,0,367.6,108,35
86,3,1,0,369.6,99,42
87,3,1,0,373.6,91,2
88,3,1,1,0.5,90,19
89,3,1,1,1.7,86,22
90,3,1,1,2.9,93,29
91,3,1,1,6.1,93,33
92,3,1,1,9.9,100,20
93,3,1,1,9.9,113,6
94,3,1,1,14.7,100,29
95,3,1,1,15.5,100,27
96,3,1,1,16.3,100,20
97,3,1,1,18.2,100,29
98,3,1,1,20.6,100,37
99,3,1,1,24.8,100,63
100,3,1,1,26.4,104,51
101,3,1,1,29.3,100,47
102,3,1,1,30.5,97,13
103,3,1,1,30.5,104,17
104,3,1,1,33.4,97,21
105,3,1,1,33.9,100,100
106,3,1,1,33.9,100,25
107,3,1,1,37.6,97,62
108,3,1,1,41.3,104,55
109,3,1,1,44.7,104,25
110,3,1,1,46.7,104,44
111,3,1,1,49.2,104,54
112,3,1,1,51.1,100,45
113,3,1,1,53.2,3,5
114,3,1,1,53.2,93,79
115,3,1,1,55.7,93,40
116,3,1,1,57.8,95,24
117,3,1,1,57.8,93,5
118,3,1,1,57.9,97,7
119,3,1,1,57.9,97,25
120,3,1,1,61.0,104,21
121,3,1,1,63.3,100,36
122,3,1,1,66.4,104,39
123,3,1,1,68.1,100,19
124,3,1,1,69.9,100,21
125,3,1,1,75.0,104,39
126,3,1,1,88.0,104,60
