,星期,時間,方向,里程,車速,交通量
0,4,1,0,1.7,97,32
1,4,1,0,2.9,95,36
2,4,1,0,6.1,97,38
3,4,1,0,9.9,97,57
4,4,1,0,14.7,97,27
5,4,1,0,15.5,97,48
6,4,1,0,17.4,113,16
7,4,1,0,20.0,97,20
8,4,1,0,20.8,104,22
9,4,1,0,21.3,93,40
10,4,1,0,23.3,97,25
11,4,1,0,25.6,93,58
12,4,1,0,27.1,108,25
13,4,1,0,29.3,100,50
14,4,1,0,33.3,104,18
15,4,1,0,34.0,104,45
16,4,1,0,34.0,108,19
17,4,1,0,37.6,97,73
18,4,1,0,41.3,100,50
19,4,1,0,44.7,97,35
20,4,1,0,44.7,100,15
21,4,1,0,46.7,97,54
22,4,1,0,49.2,100,45
23,4,1,0,51.1,108,36
24,4,1,0,53.2,100,32
25,4,1,0,55.7,100,43
26,4,1,0,55.7,45,12
27,4,1,0,57.9,100,13
28,4,1,0,58.4,93,9
29,4,1,0,60.8,93,10
30,4,1,0,60.8,104,13
31,4,1,0,63.3,0,0
32,4,1,0,63.3,0,0
33,4,1,0,66.4,97,29
34,4,1,0,68.1,104,43
35,4,1,0,69.9,90,20
36,4,1,0,75.0,99,24
37,4,1,0,75.0,104,19
38,4,1,0,88.0,100,27
39,4,1,0,92.8,100,40
40,4,1,0,95.6,108,29
41,4,1,0,97.9,108,27
42,4,1,0,104.5,100,25
43,4,1,0,112.3,104,39
44,4,1,0,129.2,108,27
45,4,1,0,138.9,108,24
46,4,1,0,146.5,106,20
47,4,1,0,157.2,104,29
48,4,1,0,162.1,108,19
49,4,1,0,166.4,108,24
50,4,1,0,169.9,104,48
51,4,1,0,177.4,104,35
52,4,1,0,180.2,111,28
53,4,1,0,183.9,111,32
54,4,1,0,190.6,106,28
55,4,1,0,196.0,111,26
56,4,1,0,201.1,111,33
57,4,1,0,208.9,115,35
58,4,1,0,215.6,111,33
59,4,1,0,224.9,115,30
60,4,1,0,232.2,108,33
61,4,1,0,239.4,109,28
62,4,1,0,242.5,115,28
63,4,1,0,247.2,115,20
64,4,1,0,251.4,111,29
65,4,1,0,260.3,111,31
66,4,1,0,267.4,104,18
67,4,1,0,271.4,111,36
68,4,1,0,282.7,115,27
69,4,1,0,286.6,111,19
70,4,1,0,293.0,111,17
71,4,1,0,301.9,111,18
72,4,1,0,308.3,104,21
73,4,1,0,312.6,82,26
74,4,1,0,318.5,104,26
75,4,1,0,322.7,108,32
76,4,1,0,325.2,104,26
77,4,1,0,328.6,102,24
78,4,1,0,336.6,104,32
79,4,1,0,339.8,115,40
80,4,1,0,346.0,109,38
81,4,1,0,353.5,104,44
82,4,1,0,355.9,104,45
83,4,1,0,359.0,99,36
84,4,1,0,364.0,97,38
85,4,1,0,367.6,106,34
86,4,1,0,369.6,100,29
87,4,1,0,373.6,0,0
88,4,1,1,0.5,90,13
89,4,1,1,1.7,93,19
90,4,1,1,2.9,93,29
91,4,1,1,6.1,97,34
92,4,1,1,9.9,104,7
93,4,1,1,9.9,115,8
94,4,1,1,14.7,106,16
95,4,1,1,15.5,93,24
96,4,1,1,16.3,100,15
97,4,1,1,18.2,93,26
98,4,1,1,20.6,95,22
99,4,1,1,24.8,97,66
100,4,1,1,26.4,97,59
101,4,1,1,29.3,100,57
102,4,1,1,30.5,104,20
103,4,1,1,30.5,104,17
104,4,1,1,33.4,97,13
105,4,1,1,33.9,100,94
106,4,1,1,33.9,97,35
107,4,1,1,37.6,97,62
108,4,1,1,41.3,100,63
109,4,1,1,44.7,104,19
110,4,1,1,46.7,102,40
111,4,1,1,49.2,100,43
112,4,1,1,51.1,97,49
113,4,1,1,53.2,7,5
114,4,1,1,53.2,97,72
115,4,1,1,55.7,0,0
116,4,1,1,57.8,0,0
117,4,1,1,57.8,0,0
118,4,1,1,57.9,0,0
119,4,1,1,57.9,97,41
120,4,1,1,61.0,100,23
121,4,1,1,63.3,93,22
122,4,1,1,66.4,104,26
123,4,1,1,68.1,97,19
124,4,1,1,69.9,104,31
125,4,1,1,75.0,104,45
126,4,1,1,88.0,108,54
127,4,1,1,92.8,108,47
128,4,1,1,95.0,108,36
129,4,1,1,98.0,104,30
130,4,1,1,104.5,104,35
131,4,1,1,112.3,99,22
132,4,1,1,129.2,104,25
133,4,1,1,138.9,104,37
134,4,1,1,146.5,104,30
135,4,1,1,157.2,108,41
136,4,1,1,162.1,111,27
137,4,1,1,166.4,104,33
138,4,1,1,169.9,108,30
139,4,1,1,177.4,118,19
140,4,1,1,180.2,113,30
141,4,1,1,183.9,104,41
142,4,1,1,190.6,108,48
143,4,1,1,196.0,108,41
144,4,1,1,201.1,108,38
145,4,1,1,208.9,111,38
146,4,1,1,215.6,111,24
147,4,1,1,224.9,108,25
148,4,1,1,232.2,109,26
149,4,1,1,239.4,111,25
150,4,1,1,242.5,115,25
151,4,1,1,247.2,108,29
152,4,1,1,251.4,111,29
153,4,1,1,260.3,104,17
